Datetime,Contagem
2012-08-25,3515.682492378856
2012-08-26,309.08892484481885
2012-08-27,320.27574888909203
2012-08-28,296.0376301265005
2012-08-29,292.3086887784093
2012-08-30,294.1731594524549
2012-08-31,307.22445417077324
2012-09-01,310.95339551886445
2012-09-02,342.64939697763793
2012-09-03,348.2428089997743
2012-09-04,338.9204556295467
2012-09-05,299.7665714745913
2012-09-06,335.1915142814555
2012-09-07,331.46257293336475
2012-09-08,301.6310421486369
2012-09-09,331.46257293336475
2012-09-10,301.6310421486369
2012-09-11,297.9021008005461
2012-09-12,292.3086887784093
2012-09-13,316.5468075410008
2012-09-14,305.3599834967281
2012-09-15,316.5468075410008
2012-09-16,324.0046902371828
2012-09-17,303.4955128226825
2012-09-18,324.0046902371828
2012-09-19,413.4992825913664
2012-09-20,385.53222248068414
2012-09-21,316.5468075410008
2012-09-22,322.1402195631372
2012-09-23,310.95339551886445
2012-09-24,333.32704360741036
2012-09-25,389.2611638287749
2012-09-26,387.39669315472975
2012-09-27,348.2428089997743
2012-09-28,335.19151428145597
2012-09-29,310.95339551886445
2012-09-30,296.0376301265005
2012-10-01,570.1148192111873
2012-10-02,469.43340281273095
2012-10-03,392.99010517686565
2012-10-04,346.3783383257287
2012-10-05,387.39669315472975
2012-10-06,363.15857439213823
2012-10-07,348.2428089997743
2012-10-08,394.85457585091126
2012-10-09,624.1844687585067
2012-10-10,368.7519864142746
2012-10-11,557.063524492869
2012-10-12,398.5835171990025
2012-10-13,404.17692922113883
2012-10-14,391.1256345028205
2012-10-15,545.8767004485962
2012-10-16,538.4188177524138
2012-10-17,560.7924658409597
2012-10-18,368.7519864142746
2012-10-19,510.451757641732
2012-10-20,760.2908279638273
2012-10-21,626.0489394325518
2012-10-22,581.3016432554605
2012-10-23,594.3529379737788
2012-10-24,476.8912855089129
2012-10-25,452.6531667463214
2012-10-26,482.48469753104973
2012-10-27,454.517637420367
2012-10-28,368.7519864142746
2012-10-29,476.8912855089129
2012-10-30,557.063524492869
2012-10-31,571.9792898852329
2012-11-01,631.6423514546887
2012-11-02,521.6385816860047
2012-11-03,1274.8847340003822
2012-11-04,782.6644760523736
2012-11-05,657.7449408913253
2012-11-06,870.2945977325112
2012-11-07,680.1185889798712
2012-11-08,549.605641796687
2012-11-09,499.2649335974588
2012-11-10,562.6569365150053
2012-11-11,622.3199980844611
2012-11-12,944.8734246943309
2012-11-13,816.2249481851923
2012-11-14,579.4371725814149
2012-11-15,521.6385816860047
2012-11-16,570.1148192111873
2012-11-17,708.0856490905535
2012-11-18,499.2649335974588
2012-11-19,499.2649335974588
2012-11-20,532.8254057302775
2012-11-21,534.6898764043231
2012-11-22,586.8950552775968
2012-11-23,558.9279951669146
2012-11-24,476.8912855089129
2012-11-25,365.0230450661834
2012-11-26,398.5835171990025
2012-11-27,374.34539843641096
2012-11-28,571.9792898852329
2012-11-29,415.36375326541156
2012-11-30,392.9901051768661
2012-12-01,402.3124585470937
2012-12-02,434.0084600058667
2012-12-03,502.99387494555003
2012-12-04,612.9976447142335
2012-12-05,570.1148192111873
2012-12-06,465.70446146463973
2012-12-07,428.4150479837299
2012-12-08,693.16988369819
2012-12-09,475.02681483486776
2012-12-10,434.0084600058667
2012-12-11,683.8475303279624
2012-12-12,793.8513000966464
2012-12-13,547.7411711226414
2012-12-14,607.4042326920971
2012-12-15,631.6423514546887
2012-12-16,460.1110494425034
2012-12-17,827.411772229465
2012-12-18,728.5948265050538
2012-12-19,588.7595259516424
2012-12-20,564.5214071890509
2012-12-21,715.5435317867355
2012-12-22,698.7632957203264
2012-12-23,463.8399907905946
2012-12-24,627.9134101065974
2012-12-25,778.9355347042824
2012-12-26,588.759525951642
2012-12-27,475.0268148348673
2012-12-28,508.58728696768594
2012-12-29,476.8912855089129
2012-12-30,521.6385816860043
2012-12-31,540.2832884264594
2013-01-01,814.3604775111462
2013-01-02,612.9976447142335
2013-01-03,510.45175764173155
2013-01-04,497.4004629234132
2013-01-05,764.019769311918
2013-01-06,566.3858778630961
2013-01-07,404.17692922113883
2013-01-08,693.16988369819
2013-01-09,575.7082312333241
2013-01-10,460.1110494425034
2013-01-11,443.3308133760943
2013-01-12,558.9279951669146
2013-01-13,445.19528405013943
2013-01-14,400.4479878730481
2013-01-15,482.48469753104973
2013-01-16,855.3788323401473
2013-01-17,821.8183602073286
2013-01-18,1069.7929598553783
2013-01-19,929.9576593019665
2013-01-20,652.151528869189
2013-01-21,620.4555274104155
2013-01-22,1013.8588396340137
2013-01-23,907.584011213421
2013-01-24,711.8145904386447
2013-01-25,708.0856490905539
2013-01-26,676.3896476317805
2013-01-27,530.9609350562323
2013-01-28,525.3675230340955
2013-01-29,650.2870581951433
2013-01-30,557.063524492869
2013-01-31,711.8145904386447
2013-02-01,810.6315361630559
2013-02-02,670.7962356096436
2013-02-03,432.14398933182156
2013-02-04,432.14398933182156
2013-02-05,603.6752913440064
2013-02-06,635.3712928027794
2013-02-07,739.781650549327
2013-02-08,592.4884672997332
2013-02-09,633.5068221287343
2013-02-10,646.5581168470526
2013-02-11,553.3345831447782
2013-02-12,762.1552986378729
2013-02-13,695.0343543722352
2013-02-14,626.0489394325523
2013-02-15,698.7632957203264
2013-02-16,879.6169511027388
2013-02-17,542.147759100505
2013-02-18,473.1623441608217
2013-02-19,1054.8771944630143
2013-02-20,862.8367150363292
2013-02-21,681.9830596539168
2013-02-22,629.777880780643
2013-02-23,1284.2070873706098
2013-02-24,1142.5073161431528
2013-02-25,773.3421226821456
2013-02-26,1036.2324877225597
2013-02-27,972.8404848050127
2013-02-28,846.0564789699201
2013-03-01,670.7962356096436
2013-03-02,935.5510713241033
2013-03-03,918.7708352576942
2013-03-04,585.0305846035512
2013-03-05,969.1115434569219
2013-03-06,948.6023660424221
2013-03-07,747.2395332455089
2013-03-08,780.8000053783276
2013-03-09,1082.8442545736966
2013-03-10,611.1331740401879
2013-03-11,601.8108206699608
2013-03-12,728.5948265050538
2013-03-13,732.323767853145
2013-03-14,713.6790611126903
2013-03-15,736.0527092012362
2013-03-16,737.9171798752814
2013-03-17,560.7924658409597
2013-03-18,573.8437605592785
2013-03-19,788.2578880745095
2013-03-20,586.8950552775968
2013-03-21,510.45175764173155
2013-03-22,911.3129525615118
2013-03-23,1274.8847340003822
2013-03-24,663.3383529134621
2013-03-25,756.5618866157365
2013-03-26,946.737895368376
2013-03-27,836.7341255996926
2013-03-28,594.3529379737788
2013-03-29,793.8513000966459
2013-03-30,903.8550698653298
2013-03-31,629.777880780643
2013-04-01,585.0305846035512
2013-04-02,799.4447121187827
2013-04-03,1140.6428454691072
